"pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","dropoff_datetime","pickup_datetime","passenger_count","trip_distance"
"-73.987380000000002","40.733417000000003","-73.987465","40.765340000000002","2014-01-06T00:00:00.000","2014-01-05T23:46:00.000","1","3.0600000000000001"
"-73.984161999999998","40.743031999999999","-73.984881999999999","40.754952000000003","2014-01-06T00:00:00.000","2014-01-05T23:55:00.000","1","0.83999999999999997"
"-73.998249999999999","40.755826999999996","-73.992014999999995","40.761510000000001","2014-01-06T00:00:00.000","2014-01-05T23:57:00.000","5","0.66000000000000003"
"-73.979416999999998","40.752291999999997","-73.975902000000005","40.764687000000002","2014-01-06T00:00:00.000","2014-01-05T23:55:00.000","1","1.1899999999999999"
"-73.997140000000002","40.757272","-73.989405000000005","40.763736999999999","2014-01-06T00:00:00.000","2014-01-05T23:58:00.000","2","0.75"
"-73.944727","40.834825000000002","-73.939170000000004","40.841802000000001","2014-01-06T00:00:00.000","2014-01-05T23:56:00.000","3","0.47999999999999998"
"-74.006664999999998","40.748756999999998","-73.974007","40.751325000000001","2014-01-06T00:00:00.000","2014-01-05T23:46:00.000","1","2.9900000000000002"
"-73.999657999999997","40.727257000000002","-73.976877000000002","40.743471999999997","2014-01-06T00:00:00.000","2014-01-05T23:54:00.000","3","2.1299999999999999"
"-73.994387000000003","40.745356999999998","-73.907421999999997","40.777211999999999","2014-01-06T00:00:00.000","2014-01-05T23:37:00.000","1","6.8799999999999999"
"-74.002431999999999","40.726546999999997","-73.987212","40.750416999999999","2014-01-06T00:00:00.000","2014-01-05T23:54:00.000","1","1.8899999999999999"
"-74.002425000000002","40.729225","-73.929002999999994","40.763747000000002","2014-01-06T00:00:00.000","2014-01-05T23:43:00.000","1","6.5099999999999998"
"-73.976972000000004","40.743400000000001","-73.937016999999997","40.839962","2014-01-06T00:00:00.000","2014-01-05T23:42:00.000","2","9.1899999999999995"
"-73.997050000000002","40.736964999999998","-73.952157","40.786977","2014-01-06T00:00:00.000","2014-01-05T23:49:00.000","1","4.6100000000000003"
"-73.991922000000002","40.729241999999999","-73.986891999999997","40.766486999999998","2014-01-06T00:00:00.000","2014-01-05T23:49:00.000","1","3.4100000000000001"
"-73.984007000000005","40.725377000000002","-73.981110000000001","40.729346999999997","2014-01-06T00:00:00.000","2014-01-05T23:58:00.000","5","0.34000000000000002"
"-73.957534999999993","40.770217000000002","-73.958224999999999","40.721625000000003","2014-01-06T00:00:00.000","2014-01-05T23:41:00.000","2","5.0700000000000003"
"-73.874701999999999","40.773932000000002","-73.897068000000004","40.693086999999998","2014-01-06T00:00:00.000","2014-01-05T23:43:00.000","1","9.8699999999999992"
"-73.949237999999994","40.781236999999997","-74.002775","40.733741999999999","2014-01-06T00:00:00.000","2014-01-05T23:44:00.000","1","5.0899999999999999"
"-74.004002","40.738357000000001","-73.892582000000004","40.747154999999999","2014-01-06T00:00:00.000","2014-01-05T23:34:00.000","1","7.5899999999999999"
"-73.799395000000004","40.666772000000002","-73.946449999999999","40.835062000000001","2014-01-06T00:00:00.000","2014-01-05T23:27:00.000","1","9.2400000000000002"
"-73.994707000000005","40.740312000000003","-73.972040000000007","40.757987","2014-01-06T00:00:00.000","2014-01-05T23:53:00.000","3","2.1699999999999999"
"-73.976401999999993","40.748077000000002","-73.980142999999998","40.761957000000002","2014-01-06T00:00:00.000","2014-01-05T23:55:00.000","5","1.48"
"-73.973384999999993","40.678516999999999","-73.921163000000007","40.637771999999998","2014-01-06T00:00:00.000","2014-01-05T23:38:00.000","2","5.2400000000000002"
"-74.005892000000003","40.740167","-73.979056999999997","40.784367000000003","2014-01-06T00:00:00.000","2014-01-05T23:50:00.000","3","3.7000000000000002"
"-73.967749999999995","40.762967000000003","-73.987089999999995","40.692197","2014-01-06T00:00:00.000","2014-01-05T23:43:00.000","5","7.3399999999999999"
"-74.007885000000002","40.707591999999998","-74.003865000000005","40.744416999999999","2014-01-06T00:00:00.000","2014-01-05T23:50:00.000","1","3.0899999999999999"
"-73.984382999999994","40.759455000000003","-73.978447000000003","40.742609999999999","2014-01-06T00:00:00.000","2014-01-05T23:52:00.000","1","1.76"
"-73.955943000000005","40.780031999999999","-73.952267000000006","40.789805000000001","2014-01-06T00:00:00.000","2014-01-05T23:57:00.000","1","0.90000000000000002"
"-73.781625000000005","40.644821999999998","-73.853817000000006","40.853521999999998","2014-01-06T00:00:00.000","2014-01-05T23:32:00.000","1","18.989999999999998"
"-73.976416999999998","40.785865000000001","-73.902064999999993","40.854666999999999","2014-01-06T00:00:00.000","2014-01-05T23:35:00.000","1","9.6600000000000001"
"-73.999605000000003","40.743687000000001","-73.947794999999999","40.792945000000003","2014-01-06T00:00:00.000","2014-01-05T23:45:00.000","1","5.0700000000000003"
"-73.989563000000004","40.733956999999997","-73.985799999999998","40.723117000000002","2014-01-06T00:00:00.000","2014-01-05T23:53:00.000","3","1.22"
